logs/API_methods.log 2025-03-05 03:10:50,891 INFO ФУНКЦИЯ GET_ALL_VIDEOS!!!
logs/API_methods.log 2025-03-05 03:21:00,829 INFO Проблема с комментариями к видео СТАЛ ОГРОМНОЙ ЗМЕЁЙ В РОБЛОКС НА 24 ЧАСА! ИГРАЮ С ПОДПИСЧИКАМИ! ЧЕЛЛЕНДЖ
logs/API_methods.log 2025-03-05 03:21:00,830 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:01,334 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео РОБЛОКС, НО НУЖНО БОЛЬШЕ МЬЮИНГА! (СЕКРЕТНАЯ КОНЦОВКА)
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Стал вором на 24 часа челлендж !
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Я стал курицей... На 24 часа
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Сбежал из тюрьмы! *Невозможный выбор*
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Самое худшее пробуждение в мире  (Разбуди его)
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Самая провокационная игра в мире! *Невозможно выиграть*
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Этот медведь сводит меня с ума! Самая бесячая игра !
logs/API_methods.log 2025-03-05 03:21:01,451 INFO Проблема с комментариями к видео Стал курьером на 24 часа челлендж! Почтальон Глент
logs/API_methods.log 2025-03-05 03:21:01,452 INFO Проблема с комментариями к видео НЕ ИГРАЙТЕ В ЭТУ ИГРУ! ОНА СВОДИТ С УМА
logs/API_methods.log 2025-03-05 03:21:01,452 INFO Проблема с комментариями к видео Мне выпал нож в кс го ?! Открытие кейсов от ГЛЕНТА !
logs/API_methods.log 2025-03-05 03:21:01,452 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:01,957 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:02,078 INFO Проблема с комментариями к видео Украл алмаз за 1 миллиард долларов !
logs/API_methods.log 2025-03-05 03:21:02,078 INFO Проблема с комментариями к видео Отвечай как все челлендж ! Угадай ответы, чтобы выжить !
logs/API_methods.log 2025-03-05 03:21:02,078 INFO Проблема с комментариями к видео Сложные головоломки! Удали одну часть челлендж!
logs/API_methods.log 2025-03-05 03:21:02,078 INFO Проблема с комментариями к видео Это самая странная игра в мире ! Попробуй найти смысл
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Проблема с комментариями к видео Я СТАЛ СУМАСШЕДШИМ ПОВАРОМ! СИМУЛЯТОР КУХНИ
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Проблема с комментариями к видео ГЛЕНТ - ДР ГЛЕНТА ! ВЫБИВАЕТ ЛЕОНА В BRAWL STARS ! Открыл свой СЕРВЕР В Minecraft
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Проблема с комментариями к видео ГЛЕНТ - КАК Я ПОЗНАКОМИЛСЯ С ВЛАДОМ А4 ! ВОПРОС-ОТВЕТ от ГЛЕНТА
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Проблема с комментариями к видео ГЛЕНТ - ОЧЕНЬ СТРАШНО! УБЕГИ ОТ ПРОКЛЯТОГО ГЛЕНТА ЧЕЛЛЕНДЖ !
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Проблема с комментариями к видео ГЛЕНТ - Я ПРОЖИЛ ЖИЗНЬ ОТ БОМЖА ДО МИЛЛИАРДЕРА ! ОЧЕНЬ КРУТАЯ ИГРА НА ТЕЛЕФОН
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Проблема с комментариями к видео ГЛЕНТ - Я КУПИЛ НОВУЮ МАШИНУ! ИСПОЛНИЛ СВОЮ МЕЧТУ **В ШОКЕ**
logs/API_methods.log 2025-03-05 03:21:02,079 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:02,583 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - ПРОЖИЛ 100 ЛЕТ ЗА 24 ЧАСА - Я ДЕВУШКА ! *РОДИЛ РЕБЕНКА* от РОЖДЕНИЯ до СМЕРТИ ЧЕЛЛЕНДЖ
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - Я СТАЛ ДИРЕКТОРОМ ОГРОМНОЙ КОРПОРАЦИИ ! БОЛЬШОЙ БОСС
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - Я КУПИЛ МАШИНУ ! МОЯ ПЕРВАЯ ЛЕГЕНДАРНАЯ ТАЧКА
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - СТАЛ СУПЕРГЕРОЕМ НА 24 ЧАСА ЧЕЛЛЕНДЖ !
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - ИГРА В КАЛЬМАРА в РОБЛОКС  **ОЧЕНЬ ИНТЕРЕСНАЯ**
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - КАК Я ЗАРЯЖАЮ НЕСКОЛЬКО ТЕЛЕФОНОВ ОДНОВРЕМЕННО **2 способ**
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - ОТКРЫТИЕ КЕЙСОВ в КС ГО и BRAWL STARS ! СТРИМ ГЛЕНТА на 10 000 000 !!!
logs/API_methods.log 2025-03-05 03:21:02,698 INFO Проблема с комментариями к видео ГЛЕНТ - СТРИМ ГЛЕНТА ! 7 МИЛЛИОНОВ ПОДПИСЧИКОВ !!!
logs/API_methods.log 2025-03-05 03:21:02,699 INFO Проблема с комментариями к видео ОБЗОРЫ - МЫ ПЕРЕЕХАЛИ В МОСКВУ! ОБЗОР НА КВАРТИРУ И ОФИС ГЛЕНТА!
logs/API_methods.log 2025-03-05 03:21:02,699 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА ОФИС ГЛЕНТА !
logs/API_methods.log 2025-03-05 03:21:02,699 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:03,203 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:03,320 INFO Проблема с комментариями к видео ОБЗОРЫ - Я СТАЛ БОГОМ В VR ! СИМУЛЯТОР БОГА ЧЕЛЛЕНДЖ !
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ГЛЕНТ - ВЫЗОВ ПРИНЯТ С ДЕВУШКОЙ**ЖЕСТКИЕ ЗАДАНИЯ**
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - ПОСЫЛКА ОТ ПОДПИСЧИКА за 1000 $ ! **ОЧЕНЬ НЕОЖИДАННО** РАСПАКОВКА
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на ОФИС ВЛАДА А4 !
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - Это БУДУЩЕЕ VR игр! **3D игры в реальной жизни ** VR OCULUS QUEST 2
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - Я КУПИЛ САМОГО КРУТОГО РОБОТА ! **ОН ЖИВОЙ !** ОБЗОР
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА ВСЕ ИГРЫ ВЛАДА А4 ! ТОП 10 ИГР ОТ А4 PRODUCTION
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - 😨 САМАЯ УМНАЯ КОЛОНКА 2021 ГОДА ! Капсула мини с Марусей **ОБЗОР И РАСПАКОВКА**
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - КУПИЛ ПРИНТЕР, КОТОРЫЙ ПЕЧАТАЕТ НА КОЖЕ ! РАСПАКОВКА И ОБЗОР **Я В ШОКЕ**
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Проблема с комментариями к видео ОБЗОРЫ - КАК ПРЕВРАТИТЬ ЛЮБОЙ ТЕЛЕФОН В ИГРОВУЮ ПРИСТАВКУ! **ИГРОВЫЕ ГАДЖЕТЫ**
logs/API_methods.log 2025-03-05 03:21:03,321 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:03,823 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:03,940 INFO Проблема с комментариями к видео ОБЗОРЫ - РАСПАКОВКА И ОБЗОР на Iphone 13 PRO !
logs/API_methods.log 2025-03-05 03:21:03,940 INFO Проблема с комментариями к видео ОБЗОРЫ - РАСПАКОВКА И ОБЗОР Ipad Mini 6 ! Маленький Планшет от Apple !
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - Как Я СКАНИРУЮ ПРЕДМЕТЫ ! МАГИЯ КАМЕРЫ Iphone 12 ЛиДАР
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА РОБОТА СОБАКУ ! ОНА ОЧЕНЬ УМНАЯ !
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - 12 САМЫХ ИНТЕРЕСНЫХ САЙТОВ ВО ВСЕМ ИНТЕРНЕТЕ **ТОП 12**
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА САМЫЙ НЕОБЫЧНЫЙ НОУТБУК ! **ОН РАЗГИБАЕТСЯ**
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - ТОП 10 ЛУЧШИХ ИГР НА ТЕЛЕФОН ! **АНДРОЙД и АЙФОН**
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - КУПИЛ САМЫЙ КРУТОЙ КОМПЬЮТЕР ОТ APPLE ! M1 APPLE IMAC  2021**РАСПАКОВКА И ОБЗОР**
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - 10 СТРАННЫХ ГАДЖЕТОВ, КОТОРЫЕ Я КУПИЛ В ИНТЕРНЕТЕ! **AliExpress ТОВАРЫ**
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМУЮ МОЩНУЮ КОЛОНКУ в МИРЕ **ПОТУШИЛИ СВЕЧКУ**
logs/API_methods.log 2025-03-05 03:21:03,941 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:04,442 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:04,559 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА ИГРОВОЙ ПК ЗА 5 000$ **ЛУЧШИЙ ИГРОВОЙ КОМПЬЮТЕР**
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ГЛЕНТ - МАЙНКРАФТ, НО ТЫ СМОЖЕШЬ СЛОМАТЬ ЧТО УГОДНО ! **ЛОМАЮ ВОЗДУХ**
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ГЛЕНТ - Я переехал ! ОБЗОР на МОЮ НОВУЮ КВАРТИРУ **ОЧЕНЬ УМНАЯ**
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ОБЗОРЫ - ЭТО САМЫЙ БЫСТРЫЙ ДРОН В МИРЕ (140 КМ/Ч) ! DJI FPV COMBO КВАДРОКОПТЕР
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ОБЗОРЫ - Как СЛУШАТЬ МУЗЫКУ через ОЧКИ ! УМНЫЕ ОЧКИ Bose
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ОБЗОРЫ - ПРОВЕРИЛ 7 СТРАННЫХ ЛАЙФХАКОВ ДЛЯ ТЕЛЕФОНА ! **ОНИ РАБОТАЮТ**
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ОБЗОРЫ - КАК Я РИСУЮ НА ЁЛКЕ ! Обзор на УМНУЮ ГИРЛЯНДУ Twinkly !
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ГЛЕНТ - ТОП 10 ИГР НА ТЕЛЕФОН БЕЗ ИНТЕРНЕТА **Android & IOS**
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ОБЗОРЫ - САМЫЙ МОЩНЫЙ ИГРОВОЙ НОУТБУК В МИРЕ за 2500 $
logs/API_methods.log 2025-03-05 03:21:04,560 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА СГИБАЕМЫЙ ТЕЛЕФОН ЗА 100 000 РУБЛЕЙ ! Samsung Galaxy Z Flip !
logs/API_methods.log 2025-03-05 03:21:04,561 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:05,063 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:05,194 INFO Проблема с комментариями к видео ОБЗОРЫ - Обзор на САМЫЙ ПРОЧНЫЙ РЮКЗАК **ОЧЕНЬ КРЕПКИЙ**
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на БОЛЬШИЕ НАУШНИКИ от Apple ! AirPods MAX
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ОБЗОРЫ - СГИБАЕМЫЙ ТЕЛЕФОН ЗА 180 000 РУБЛЕЙ ! Samsung Galaxy Z Fold2
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ОБЗОРЫ - ЭТО БЕСКОНЕЧНЫЙ БЛОКНОТ ! **ОЧЕНЬ УМНЫЙ** ОБЗОР
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на PLAYSTATION 5 **ОЧЕНЬ КЛАССНАЯ**
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ГЛЕНТ - Я ЦЕЛОВАЛСЯ С ПАРНЕМ !? ВОПРОС-ОТВЕТ от ГЛЕНТА
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ОБЗОРЫ - Обзор на Iphone 12 Pro Max и Зарядку Magsafe
logs/API_methods.log 2025-03-05 03:21:05,195 INFO Проблема с комментариями к видео ГЛЕНТ - СДЕЛАЙ ВЫБОР - ДА или НЕТ Челлендж ! КРУТАЯ ИГРА НА ТЕЛЕФОН
logs/API_methods.log 2025-03-05 03:21:05,196 INFO Проблема с комментариями к видео ОБЗОРЫ - Обзор на САМЫЕ УМНЫЕ ЧАСЫ для БЛОГЕРОВ **СЧИТАЮТ ПОДПИСЧИКОВ**
logs/API_methods.log 2025-03-05 03:21:05,196 INFO Проблема с комментариями к видео ГЛЕНТ - ХУДШИЕ ИГРЫ ИЗ РЕКЛАМЫ ! **ЗАЧЕМ Я ЭТО СКАЧАЛ** ИГРЫ ДЛЯ ТЕЛЕФОНА
logs/API_methods.log 2025-03-05 03:21:05,196 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:05,698 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - КАК Я ЗАРЯЖАЮ НЕСКОЛЬКО ТЕЛЕФОНОВ ОДНОВРЕМЕННО**ИХ МНОГО**
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ГЛЕНТ - МНЕ ВЫПАЛ НОЖ В КС ГО ! ОТКРЫТИЕ КЕЙСОВ от ГЛЕНТА !
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМЫЙ ДЕШЕВЫЙ КВАДРОКОПТЕР**МЕГА-КРУТОЙ ДРОН**
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - ВСЕ СЕКРЕТНЫЕ ФИШКИ IPHONE**Я ШОКИРОВАН**
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - САМЫЕ КРУТЫЕ ФИШКИ iOS 14: ПЛЮСЫ И МИНУСЫ
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - ТОП 5 АКСЕССУАРОВ для ТВОЕГО КОМПЬЮТЕРА !
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - ТОП 5 САМЫХ КРУТЫХ ЛАМП !**ОЧЕНЬ ИНТЕРЕСНЫЕ**
logs/API_methods.log 2025-03-05 03:21:05,819 INFO Проблема с комментариями к видео ОБЗОРЫ - Обзор на МАШИНУ от XIAOMI **ОЧЕНЬ БЫСТРАЯ** Ninebot gokart
logs/API_methods.log 2025-03-05 03:21:05,820 INFO Проблема с комментариями к видео ОБЗОРЫ - ПРЕВРАТИЛ КВАРТИРУ в УМНЫЙ ДОМ !**НОВАЯ КВАРТИРА**
logs/API_methods.log 2025-03-05 03:21:05,820 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на РОБОТА из STAR WARS ! **У НЕГО КАМЕРЫ ВНУТРИ**
logs/API_methods.log 2025-03-05 03:21:05,820 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:06,323 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:06,431 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМУЮ КРУТУЮ ЗАРЯДКУ**ОНА ЗАРЯЖАЕТ ВСЁ**
logs/API_methods.log 2025-03-05 03:21:06,431 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на КРУТЫЕ ДЕВАЙСЫ ДЛЯ ФОТО С ТЕЛЕФОНА
logs/API_methods.log 2025-03-05 03:21:06,431 INFO Проблема с комментариями к видео ОБЗОРЫ - ДОРОГОЙ СВЕТ против ДЕШЕВОГО**ОН ТАКОЙ КРУТОЙ**
logs/API_methods.log 2025-03-05 03:21:06,431 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМЫЙ МОЩНЫЙ ПОВЕРБАНК 65 000 мА/ч
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на Iphone 12 ! **УЗНАЛИ ПРО ВСЕ ФИШКИ**
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Проблема с комментариями к видео ОБЗОРЫ - МОЩНЫЙ СМАРТФОН ЗА 18 000 РУБЛЕЙ! **ВЫ ОФИГЕЕТЕ**
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Проблема с комментариями к видео ОБЗОРЫ - КОЛОНКА, КОТОРАЯ МОЖЕТ ВСЁ ! JBL LINK PORTABLE
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Проблема с комментариями к видео ОБЗОРЫ - Обзор на ПРИНТЕР для ТЕЛЕФОНА**Я В ШОКЕ**
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на ВСЕ БЕСПРОВОДНЫЕ ЗАРЯДКИ от ГЛЕНТА !
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМОГО БЫСТРОГО РОБОТА !
logs/API_methods.log 2025-03-05 03:21:06,432 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:06,936 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:07,064 INFO Проблема с комментариями к видео ОБЗОРЫ - РЕНТГЕНОВСКОЕ ЗРЕНИЕ В ТЕЛЕФОНЕ ! ONEPLUS 8 PRO
logs/API_methods.log 2025-03-05 03:21:07,064 INFO Проблема с комментариями к видео ОБЗОРЫ - ТОП 5 АКСЕССУАРОВ ДЛЯ ТВОЕГО ТЕЛЕФОНА
logs/API_methods.log 2025-03-05 03:21:07,064 INFO Проблема с комментариями к видео ОБЗОРЫ - ЛУЧШИЕ ИГРОВЫЕ НАУШНИКИ **ОНИ БЕСПРОВОДНЫЕ**
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - Как СЛУШАТЬ МУЗЫКУ через МОЗГ**НАУШНИКИ С КОСТНОЙ ПРОВОДИМОСТЬЮ**
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на КРУТОГО РОБОТА ЖЕЛЕЗНОГО ЧЕЛОВЕКА**ОН ЖИВОЙ !**
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА УМНЫЙ ДОМ ОТ XIAOMI**ОН УМЕЕТ ГАВКАТЬ**
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на ЭЛЕКТРОРОЛИКИ**ЭТО ЛУЧШЕ ЧЕМ ГИРОСКУТЕР**
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА САМУЮ БОЛЬШУЮ КОЛОНКУ **ОНА ОГРОМНАЯ**
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - ЭТО САМЫЕ ДОРОГИЕ КОЛОНКИ**ОЧЕНЬ ГРОМКИЕ** ОБЗОР
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Проблема с комментариями к видео ОБЗОРЫ - СКОЛЬКО СТОИТ ТЕХНИКА В ОФИСЕ ВЛАДА А4 !
logs/API_methods.log 2025-03-05 03:21:07,065 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:07,568 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:07,684 INFO Проблема с комментариями к видео ОБЗОРЫ - УМНЫЕ ЧАСЫ от HUAWEI против APPLE WATCH **ЦЕНА ПОРАЗИЛА**
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - Проверил ВИРУСНЫЕ ЛАЙФХАКИ из ТИК ТОКА С ТЕХНИКОЙ  **ЭТО НЕВОЗМОЖНО**
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА САМЫЕ КРУТЫЕ БЕСПРОВОДНЫЕ НАУШНИКИ - JBL Soundgear
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - Xiaomi ЛУЧШЕ Apple !?  ОБЗОР НА Xiaomi Notebook и Ipad Pro
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - ЭТО САМЫЕ УМНЫЕ ЧАСЫ, КОТОРЫЕ МОГУТ ВСЁ ! Обзор от Глента
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМЫЙ УМНЫЙ РОБОШАР!**ОН ДЕЛАЕТ МАССАЖ**
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - ЧТО УМЕЮТ ДРОИДЫ ИЗ STAR WARS !
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - САМЫЙ МАЛЕНЬКИЙ КИНОТЕАТР У МЕНЯ ДОМА !
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА САМОГО КРУТОГО РОБОТА! **ОН УМНЕЙ МЕНЯ**
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА МУЗЫКАЛЬНОЕ КОЛЬЦО!**ИГРАЕМ НА БЛОГГЕРАХ**
logs/API_methods.log 2025-03-05 03:21:07,685 INFO Успешно получили комментарии для 10 видео
logs/API_methods.log 2025-03-05 03:21:08,190 INFO ФУНКЦИЯ GET_VIDEO_COMMENT!!!
logs/API_methods.log 2025-03-05 03:21:08,307 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР на САМОГО КРУТОГО РОБОТА от DJI
logs/API_methods.log 2025-03-05 03:21:08,307 INFO Проблема с комментариями к видео ОБЗОРЫ - ЗАПУСТИЛИ ТИКТОК НА УМНОМ РЮКЗАКЕ от PIXEL !
logs/API_methods.log 2025-03-05 03:21:08,307 INFO Проблема с комментариями к видео ОБЗОРЫ - ЧТО УМЕЕТ УМНЫЙ ЧЕМОДАН ЗА 1800 $
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ЧЕЛЛЕНДЖИ от ГЛЕНТА ! - СТАЛ ПОЛИЦЕЙСКИМ НА 24 ЧАСА! ВЫЗВАЛ ПОДКРЕПЛЕНИЕ *ЖЕСТКИЕ ЗАДЕРЖАНИЯ*
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА САМЫЙ РЕДКИЙ VR ШЛЕМ ! - Valve Index
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ЧЕЛЛЕНДЖИ от ГЛЕНТА ! - ЭКСТРЕМАЛЬНЫЕ ПРЯТКИ В ROBLOX! *ИСПОЛЬЗУЮ СУПЕРСПОСОБНОСТИ*
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ОБЗОРЫ - ОБЗОР НА САМЫЕ МОЩНЫЕ КОЛОНКИ JBL PARTYBOX
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ЧЕЛЛЕНДЖИ от ГЛЕНТА ! - САМЫЕ СТРАШНЫЕ И ИНТЕРЕСНЫЕ МЕСТА НА ГУГЛ КАРТАХ! *Я В ШОКЕ*
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ЧЕЛЛЕНДЖИ от ГЛЕНТА ! - ПОДНИМИСЬ НА 2000 СТУПЕНЕК, ЧТОБЫ ВЫЖИТЬ! ЦАРЬ ГОРЫ В ROBLOX !
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Проблема с комментариями к видео ЧЕЛЛЕНДЖИ от ГЛЕНТА ! - Я ОТКРЫЛ СВОЙ РЕСТОРАН В РОБЛОКС ! ЗАДОНАТИЛ В ROBLOX
logs/API_methods.log 2025-03-05 03:21:08,308 INFO Успешно получили комментарии для 10 видео
